ID_api,Seasonal_mortality,Age,Activity,Beekeep_for,Qualif,Training,Coop_treat,Bee_population_size,Country,Apiary_Size,Production,Apiarist_book,Org_member,Continue,Breed,Chronic_Depop,ClinSign_Brood,ClinSign_Honeybees,H_Rate_ColMortality,H_Rate_HoneyMortality,OtherEvent,VarroaMites,QueenProblems,Management,Swarm_bought,Swarm_produced,Queen_bought,Queen_produced,Environment,VarroosisV2,ChronicParalysisV2,AmericanFoulbroodV2,NosemosisV2,EuropeanFoulbroodV2,Migration,Merger,Winter_Mortality_Class,Program
1000_A,0,4___Over 65,Part_time,2___2-5 years,No,Yes,Yes,1___Less than 51 colonies,LATVIA,2__6 - 10,01__Only honey,Yes,Yes,Yes,A. m. mellifera,No,No,No,No,No,No,Yes,No,Livestock,1__None,2__1 - 5 swarm(s) produced,2__1 - 5 queen(s) bought,1__None,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,5__21 - 50 %,First Year
1003_A,0,4___Over 65,Hobby,3___More than 5 years,No,Yes,Yes,1___Less than 51 colonies,LATVIA,3__11 - 20,01__Only honey,Yes,Yes,Yes,A. m. mellifera,No,No,No,No,No,No,No,No,Livestock,1__None,1__None,4__More than 10 queens bought,1__None,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,5__21 - 50 %,First Year
1004_A,0,1___Less than 30,Part_time,1___Less than 2 years,No,No,No,2___51 - 100,GREECE,5__More than 50 colonies,01__Only honey,No,No,Yes,A. m. ccm,Yes,No,No,Yes,No,No,Yes,No,Livestock,1__None,1__None,1__None,1__None,Farmland,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1006_A,0,4___Over 65,Hobby,3___More than 5 years,No,No,Yes,1___Less than 51 colonies,SLOVAKIA,1__Less than 5 colonies,01__Only honey,Yes,Yes,Yes,A. m. carnica,No,No,No,No,No,No,No,No,Livestock,1__None,2__1 - 5 swarm(s) produced,1__None,1__None,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1007_A,0,4___Over 65,Hobby,2___2-5 years,No,No,Yes,1___Less than 51 colonies,SLOVAKIA,1__Less than 5 colonies,01__Only honey,Yes,Yes,Yes,A. m. carnica,No,No,No,No,No,No,No,No,Livestock,1__None,1__None,1__None,1__None,Wood,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,5__21 - 50 %,First Year
1008_A,0,3___45-65,Hobby,3___More than 5 years,Yes,Yes,Yes,1___Less than 51 colonies,SLOVAKIA,3__11 - 20,01__Only honey,Yes,Yes,Yes,A. m. carnica,No,No,No,No,No,No,No,No,Livestock,1__None,1__None,1__None,1__None,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Suffering,Not_Suffering,No,No,4__11 - 20 %,First Year
1009_A,0,3___45-65,Professional,3___More than 5 years,Yes,Yes,Yes,5___201 - 300,SLOVAKIA,5__More than 50 colonies,07__Other,Yes,Yes,Yes,A. m. carnica,No,No,No,No,No,No,No,No,Livestock,1__None,4__More than 10 swarms produced,1__None,4__More than 10 queens produced,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,2__1 - 5 %,First Year
1010_A,0,3___45-65,Hobby,3___More than 5 years,Yes,Yes,Yes,1___Less than 51 colonies,SLOVAKIA,4__21 - 50,01__Only honey,Yes,Yes,Yes,A. m. carnica,No,No,No,No,No,No,No,No,Livestock,1__None,1__None,1__None,3__6 - 10 queens produced,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1011_A,0,4___Over 65,Hobby,3___More than 5 years,Yes,No,Yes,2___51 - 100,SLOVAKIA,5__More than 50 colonies,01__Only honey,Yes,Yes,Yes,A. m. carnica,No,No,No,No,No,No,No,No,Livestock,1__None,1__None,1__None,4__More than 10 queens produced,Wood,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,1__No Mortality,First Year
1012_A,0,1___Less than 30,Hobby,1___Less than 2 years,No,No,Yes,1___Less than 51 colonies,SLOVAKIA,2__6 - 10,07__Other,Yes,Yes,Yes,A. m. carnica,No,No,No,No,No,No,No,No,Livestock,1__None,4__More than 10 swarms produced,1__None,4__More than 10 queens produced,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,4__11 - 20 %,First Year
1013_A,0,3___45-65,Hobby,3___More than 5 years,No,Yes,Yes,1___Less than 51 colonies,SLOVAKIA,1__Less than 5 colonies,06__Includes swarms production,Yes,Yes,Yes,A. m. carnica,No,No,No,No,No,No,No,No,Livestock,1__None,2__1 - 5 swarm(s) produced,1__None,2__1 - 5 queen(s) produced,Diverse,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,Not_Suffering,No,No,5__21 - 50 %,First Year
